name,delta_H,delta_S
CL,-40.3773245360681,-167.09822972017713
M1,-33.851467023389674,-175.01055006347877
M2,null,null
M3,null,null
M4,null,null
M5,-40.14125461130483,-182.14602669473263
M6,-46.33827767120089,-190.9942328357859
M7,null,null
M8,-52.82949734190533,-199.3816981018368
M9,-49.14809676175459,-196.24598691175643
M10,-38.731970796193394,-186.28942378151447
M11,null,null
M12,-45.39548888078758,-198.28327927425244
